,Date_mutation,valeur_fonciere,No_voie,Type_de_voie,Code_voie,Voie,Code_postal,Commune,Code_departement,Code_commune,Surface_Carrez_du_1er_lot,Nombre_pieces_principales,Surface_terrain
15522,07/12/2022,188500.0,402.0,RUE,0510,JEAN JAURES,59410.0,ANZIN,59,14,,1.0,294.0
15523,24/11/2022,68693.12,102.0,RUE,0359,GRAS BOEUF,59163.0,CONDE SUR L ESCAUT,59,153,47.76,2.0,
15524,01/12/2022,48000.0,20.0,RUE,0280,DU DOCTEUR CALMETTE,59410.0,ANZIN,59,14,37.59,1.0,
15525,08/12/2022,182000.0,36.0,RUE,0850,CLAUDIN LEJEUNE,59300.0,VALENCIENNES,59,606,66.74,2.0,
15526,13/12/2022,89000.0,2.0,,A628,IMM SAINT ELOI,59600.0,MAUBEUGE,59,392,80.49,4.0,
15527,07/12/2022,93900.0,69.0,RUE,2654,DU MARQUIS RES FLANDRES,59300.0,VALENCIENNES,59,606,,3.0,
15528,25/11/2022,63500.0,1.0,ALL,2940,SAINT-ROCH,59400.0,CAMBRAI,59,122,,1.0,
15529,13/12/2022,107500.0,9002.0,RES,A716,VAUBAN BAT A,59600.0,MAUBEUGE,59,392,,3.0,
15530,16/12/2022,143500.0,9001.0,,4007,LE VIGNOBLE RES FLORE,59300.0,VALENCIENNES,59,606,66.24,3.0,
15531,26/11/2022,75000.0,2.0,RUE,1910,DU MARCHE AUX POISSONS,59400.0,CAMBRAI,59,122,,2.0,105.0
15532,26/11/2022,75000.0,2.0,RUE,1910,DU MARCHE AUX POISSONS,59400.0,CAMBRAI,59,122,,2.0,105.0
15533,26/11/2022,75000.0,2.0,RUE,1910,DU MARCHE AUX POISSONS,59400.0,CAMBRAI,59,122,,1.0,105.0
15534,26/11/2022,75000.0,2.0,RUE,1910,DU MARCHE AUX POISSONS,59400.0,CAMBRAI,59,122,,2.0,105.0
15535,19/12/2022,56161.08,3.0,RUE,0063,DES BESSEMERS,59300.0,AULNOY-LEZ-VALENCIENNES,59,32,19.3,1.0,
15536,16/06/2022,104000.0,7.0,QUAI,0240,MARION,59158.0,MORTAGNE-DU-NORD,59,418,,3.0,682.0
15537,16/06/2022,104000.0,7.0,QUAI,0240,MARION,59158.0,MORTAGNE-DU-NORD,59,418,,4.0,682.0
15538,09/12/2022,118300.0,13.0,RUE,1947,HENRY DERYCKE LES TERTIALE,59300.0,VALENCIENNES,59,606,,1.0,
15539,09/12/2022,105300.0,13.0,RUE,1947,HENRY DERYCKE LES TERTIALE,59300.0,VALENCIENNES,59,606,,1.0,
15540,19/12/2022,64000.0,17.0,RUE,0600,CAPRON,59300.0,VALENCIENNES,59,606,33.62,2.0,
15541,15/12/2022,260000.0,7.0,AV,0190,D AMSTERDAM,59300.0,VALENCIENNES,59,606,,4.0,
15542,19/12/2022,103000.0,7.0,AV,0190,D AMSTERDAM,59300.0,VALENCIENNES,59,606,,2.0,
